GEOID,NAME,PR_Pop_AfricanAmerican_BlackE,PR_Pop_AfricanAmerican_BlackM,PR_Pop_WhiteE,PR_Pop_WhiteM,PR_Pop_AsianE,PR_Pop_AsianM,PR_Pop_BachelorsE,PR_Pop_BachelorsM,PR_Pop_NativeE,PR_Pop_NativeM,PR_Pop_EducationE,PR_Pop_EducationM,Asian_Percent,AfricanAmerican_Black_Percent,White_Percent,Bachelors_Percent
"72091570800","Census Tract 5708, Manatí Municipio, Puerto Rico",138,106,4961,699,0,19,618,182,6007,661,3893,456,0,2.29731979357416,82.5869818545031,15.8746468019522
"72001956400","Census Tract 9564, Adjuntas Municipio, Puerto Rico",0,13,2324,415,0,13,347,169,2747,441,1868,297,0,0,84.6013833272661,18.576017130621
"72005400700","Census Tract 4007, Aguadilla Municipio, Puerto Rico",96,68,1720,374,8,14,317,118,2307,377,1483,259,0.346770697876029,4.16124837451235,74.5557000433463,21.3755900202293
"72127001100","Census Tract 11, San Juan Municipio, Puerto Rico",0,13,986,246,8,12,310,87,1398,277,838,156,0.572246065808298,0,70.5293276108727,36.9928400954654
"72141957200","Census Tract 9572, Utuado Municipio, Puerto Rico",38,40,3024,433,32,35,325,133,4164,548,2769,375,0.768491834774256,0.912584053794428,72.6224783861671,11.7370892018779
"72069180500","Census Tract 1805, Humacao Municipio, Puerto Rico",611,437,3381,813,0,19,1106,350,5548,945,3383,540,0,11.0129776496035,60.9408795962509,32.692876145433
"72007230200","Census Tract 2302, Aguas Buenas Municipio, Puerto Rico",460,290,5369,879,0,19,645,261,6483,976,4358,623,0,7.09548048742866,82.8165972543575,14.8003671408903
"72011810500","Census Tract 8105, Añasco Municipio, Puerto Rico",53,68,3106,712,33,72,455,191,5699,857,3758,535,0.579048955957185,0.929987717143358,54.5007896122127,12.1075039914848
"72071410200","Census Tract 4102, Isabela Municipio, Puerto Rico",222,123,1574,364,0,13,117,77,2801,615,1686,297,0,7.92574080685469,56.1942163513031,6.93950177935943
"72153750202","Census Tract 7502.02, Yauco Municipio, Puerto Rico",199,114,2672,573,0,13,118,85,3595,581,2681,456,0,5.53546592489569,74.3254520166899,4.40134278254383
"72135510701","Census Tract 5107.01, Toa Alta Municipio, Puerto Rico",274,224,2609,520,0,13,502,133,3520,578,2155,361,0,7.78409090909091,74.1193181818182,23.2946635730858
"72137121900","Census Tract 1219, Toa Baja Municipio, Puerto Rico",408,209,1521,354,0,13,548,157,2668,455,2043,327,0,15.2923538230885,57.0089955022489,26.8232990699951
"72139060104","Census Tract 601.04, Trujillo Alto Municipio, Puerto Rico",478,250,4059,686,0,19,1021,265,5732,884,3367,542,0,8.33914863921842,70.8129797627355,30.3237303237303
"72143550601","Census Tract 5506.01, Vega Alta Municipio, Puerto Rico",282,145,3723,669,0,13,222,117,4623,731,2971,477,0,6.09993510707333,80.5321219987021,7.47223157186133
"72113070513","Census Tract 705.13, Ponce Municipio, Puerto Rico",336,258,1886,366,0,13,201,127,2649,485,1571,281,0,12.6840317100793,71.196677991695,12.7943984723106
"72013302300","Census Tract 3023, Arecibo Municipio, Puerto Rico",85,59,2739,394,0,13,300,84,3197,511,2134,385,0,2.65874257116046,85.6740694401001,14.058106841612
"72019952202","Census Tract 9522.02, Barranquitas Municipio, Puerto Rico",199,148,3926,631,0,19,602,157,5651,694,3452,396,0,3.52150061935941,69.4744293045479,17.4391657010429
"72021031013","Census Tract 310.13, Bayamón Municipio, Puerto Rico",765,346,4002,778,0,19,995,273,8198,975,4778,589,0,9.33154427909246,48.8167845816053,20.8246128087066
"72021031123","Census Tract 311.23, Bayamón Municipio, Puerto Rico",142,87,1514,271,0,13,248,101,2614,410,1899,315,0,5.43228768171385,57.9188982402448,13.059505002633
"72113072703","Census Tract 727.03, Ponce Municipio, Puerto Rico",64,59,4240,649,0,19,706,234,5035,695,3352,421,0,1.27110228401192,84.2105263157895,21.0620525059666
"72119130401","Census Tract 1304.01, Río Grande Municipio, Puerto Rico",368,186,1411,422,0,13,444,154,3526,643,1872,313,0,10.436755530346,40.0170164492343,23.7179487179487
"72013301100","Census Tract 3011, Arecibo Municipio, Puerto Rico",365,218,5452,693,23,38,876,265,7053,834,4490,525,0.326102367786757,5.17510279313767,77.3004395292783,19.5100222717149
"72129220200","Census Tract 2202, San Lorenzo Municipio, Puerto Rico",235,129,2988,482,0,13,285,149,3733,533,2197,308,0,6.29520492901152,80.0428609697294,12.972234865726
"72131958700","Census Tract 9587, San Sebastián Municipio, Puerto Rico",148,183,3407,602,0,13,535,201,4895,672,3041,405,0,3.02349336057201,69.6016343207354,17.5928970733311
"72153750601","Census Tract 7506.01, Yauco Municipio, Puerto Rico",218,171,3900,654,0,13,496,226,4819,688,2772,451,0,4.52376011620668,80.9296534550737,17.8932178932179
"72013300200","Census Tract 3002, Arecibo Municipio, Puerto Rico",157,159,2615,535,61,59,240,103,3739,617,2282,373,1.63145225996256,4.1989836854774,69.9384862262637,10.5170902716915
"72141956900","Census Tract 9569, Utuado Municipio, Puerto Rico",175,109,3400,506,34,52,403,156,4535,579,2920,388,0.749724366041896,3.85887541345094,74.9724366041896,13.8013698630137
"72097081900","Census Tract 819, Mayagüez Municipio, Puerto Rico",80,68,3253,629,0,19,368,207,5279,876,3824,550,0,1.51543853002463,61.6215192271264,9.6234309623431
"72049950500","Census Tract 9505, Culebra Municipio, Puerto Rico",63,38,672,163,0,13,83,33,1478,219,937,145,0,4.26251691474966,45.4668470906631,8.85805763073639
"72039955900","Census Tract 9559, Ciales Municipio, Puerto Rico",50,65,4547,654,0,13,286,141,4807,653,3239,420,0,1.04014978156855,94.5912211358436,8.8298857672121
"72001956800","Census Tract 9568, Adjuntas Municipio, Puerto Rico",1,7,3835,593,0,13,463,150,4569,542,2969,333,0,0.0218866272707376,83.9352155832786,15.5944762546312
"72111730800","Census Tract 7308, Peñuelas Municipio, Puerto Rico",26,19,1159,238,0,13,226,73,1532,271,1095,182,0,1.69712793733681,75.6527415143603,20.6392694063927
"72113072704","Census Tract 727.04, Ponce Municipio, Puerto Rico",103,120,2424,478,0,13,260,122,3355,545,1930,365,0,3.07004470938897,72.2503725782414,13.4715025906736
"72059740200","Census Tract 7402, Guayanilla Municipio, Puerto Rico",154,87,4023,591,18,28,631,143,5260,552,3081,402,0.342205323193916,2.9277566539924,76.4828897338403,20.4803635183382
"72107954801","Census Tract 9548.01, Orocovis Municipio, Puerto Rico",154,99,3344,607,0,13,433,187,4096,596,2853,388,0,3.759765625,81.640625,15.1770066596565
"72109290300","Census Tract 2903, Patillas Municipio, Puerto Rico",2363,417,1930,411,0,19,331,122,5044,599,2959,351,0,46.847739888977,38.2632831086439,11.1862115579588
"72119130101","Census Tract 1301.01, Río Grande Municipio, Puerto Rico",737,437,2887,497,0,19,411,128,5172,818,3218,646,0,14.2498066511988,55.8197989172467,12.7719080174021
"72127003100","Census Tract 31, San Juan Municipio, Puerto Rico",318,141,569,191,0,13,49,42,1248,288,811,218,0,25.4807692307692,45.5929487179487,6.04192355117139
"72127004800","Census Tract 48, San Juan Municipio, Puerto Rico",172,77,2248,539,35,55,27,32,3250,609,1588,307,1.07692307692308,5.29230769230769,69.1692307692308,1.70025188916877
"72127007600","Census Tract 76, San Juan Municipio, Puerto Rico",224,123,986,264,0,13,240,106,1525,336,1040,265,0,14.6885245901639,64.655737704918,23.0769230769231
"72127008300","Census Tract 83, San Juan Municipio, Puerto Rico",290,182,971,298,0,13,170,83,1698,342,1081,225,0,17.0789163722026,57.1849234393404,15.7261794634598
"72137121701","Census Tract 1217.01, Toa Baja Municipio, Puerto Rico",275,187,1085,305,0,13,385,117,2966,478,1493,264,0,9.27174645987862,36.5812542144302,25.7870060281313
"72139060302","Census Tract 603.02, Trujillo Alto Municipio, Puerto Rico",562,327,5436,983,0,19,1206,312,7762,1054,4600,605,0,7.24040195825818,70.0334965215151,26.2173913043478
"72127009901","Census Tract 99.01, San Juan Municipio, Puerto Rico",168,129,2409,377,0,13,753,179,3110,457,2146,313,0,5.40192926045016,77.459807073955,35.0885368126747
"72131959500","Census Tract 9595, San Sebastián Municipio, Puerto Rico",67,63,3623,642,0,13,435,139,4732,797,3148,497,0,1.41589180050719,76.56382079459,13.8182973316391
"72135510702","Census Tract 5107.02, Toa Alta Municipio, Puerto Rico",336,150,3560,529,0,19,336,154,5121,610,3310,440,0,6.56121851200937,69.5176723296231,10.1510574018127
"72145560204","Census Tract 5602.04, Vega Baja Municipio, Puerto Rico",0,13,3077,613,0,13,308,133,3582,692,2096,369,0,0,85.9017308766053,14.6946564885496
"72153750503","Census Tract 7505.03, Yauco Municipio, Puerto Rico",137,97,1723,372,0,13,485,157,2248,420,1424,270,0,6.09430604982206,76.6459074733096,34.0589887640449
"72047530500","Census Tract 5305, Corozal Municipio, Puerto Rico",524,357,5625,953,0,19,556,247,8344,1101,4971,600,0,6.27996164908917,67.4137104506232,11.1848722591028
"72061040422","Census Tract 404.22, Guaynabo Municipio, Puerto Rico",202,157,1685,333,0,13,449,127,2458,419,1696,281,0,8.21806346623271,68.5516680227827,26.4740566037736
"72069180302","Census Tract 1803.02, Humacao Municipio, Puerto Rico",492,206,2458,516,0,13,415,201,4206,640,2923,442,0,11.69757489301,58.4403233475987,14.1977420458433
"72003990000","Census Tract 9900, Aguada Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72005990000","Census Tract 9900, Aguadilla Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72011990000","Census Tract 9900, Añasco Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72013992900","Census Tract 9929, Arecibo Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72015991500","Census Tract 9915, Arroyo Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72017990000","Census Tract 9900, Barceloneta Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72023990000","Census Tract 9900, Cabo Rojo Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72027990000","Census Tract 9900, Camuy Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72031990000","Census Tract 9900, Carolina Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72037990000","Census Tract 9900, Ceiba Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72051990021","Census Tract 9900.21, Dorado Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72053990103","Census Tract 9901.03, Fajardo Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72055990000","Census Tract 9900, Guánica Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72057992600","Census Tract 9926, Guayama Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72059990001","Census Tract 9900.01, Guayanilla Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72065990016","Census Tract 9900.16, Hatillo Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72123992800","Census Tract 9928, Salinas Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72127990000","Census Tract 9900, San Juan Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72133990000","Census Tract 9900, Santa Isabel Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72143990000","Census Tract 9900, Vega Alta Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72145990000","Census Tract 9900, Vega Baja Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72147990000","Census Tract 9900, Vieques Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72151990000","Census Tract 9900, Yabucoa Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72069991800","Census Tract 9918, Humacao Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72071990000","Census Tract 9900, Isabela Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72075990001","Census Tract 9900.01, Juana Díaz Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
